products,category,price,cost,units_sold,profit_margin,discount,total_revenue,month,zscore,space,space_proportion,total_space_percentage_per_month,space_impact,predicted_total_revenue,adjusted_total_revenue,revenue_difference,predicted_rentability
4_cheese_pizza_campofrio,groceries,5.17,4.45,22,14,10,113.74,0,-0.892365800296757,2,0.005917159763313609,1.0,-0.025885298133818846,113.82599999999984,110.79580619025943,2.944193809740568,111.74106
4_cheese_pizza_campofrio,groceries,5.17,4.45,12,14,10,62.04,1,-0.892365800296757,2,0.005917159763313609,1.0,-0.014119253527537552,61.587999999999944,61.164041511151574,0.8759584888484255,62.260418
4_cheese_pizza_campofrio,groceries,5.17,4.45,0,14,10,0.0,2,-0.892365800296757,2,0.005917159763313609,1.0,-0.0,0.0,0.0,0.0,-0.09341456
4_cheese_pizza_campofrio,groceries,5.17,4.45,26,14,10,134.42,3,-0.892365800296757,2,0.005917159763313609,1.0,-0.03059171597633136,134.5546,130.30786153846154,4.11213846153845,131.36394
4_cheese_pizza_campofrio,groceries,5.17,4.45,0,14,10,0.0,4,-0.892365800296757,2,0.005917159763313609,1.0,-0.0,0.0,0.0,0.0,-0.14225303
4_cheese_pizza_campofrio,groceries,5.17,4.45,0,14,10,0.0,5,-0.892365800296757,2,0.005917159763313609,1.0,-0.0,0.0,0.0,0.0,-0.14225303
4_cheese_pizza_campofrio,groceries,5.17,4.45,22,14,10,113.74,6,-0.892365800296757,2,0.005917159763313609,1.0,-0.025885298133818846,113.82599999999984,110.79580619025943,2.944193809740568,111.75602
4_cheese_pizza_campofrio,groceries,5.17,4.45,41,14,10,211.97,7,-0.892365800296757,2,0.005917159763313609,1.0,-0.0482407828857533,211.17959999999982,201.74440125170688,10.225598748293123,202.56021
4_cheese_pizza_campofrio,groceries,5.17,4.45,0,14,10,0.0,8,-0.892365800296757,2,0.005917159763313609,1.0,-0.0,0.0,0.0,0.0,-0.23145114
4_cheese_pizza_campofrio,groceries,5.17,4.45,7,14,10,36.19,9,-0.892365800296757,2,0.005917159763313609,1.0,-0.008236231224396906,47.683099999999996,35.891930791989076,0.2980692080109222,35.360878
4_cheese_pizza_campofrio,groceries,5.17,4.45,36,14,10,186.12,10,-0.892365800296757,2,0.005917159763313609,1.0,-0.042357760582612654,183.66690000000008,178.23637360036415,7.883626399635858,179.20679
absolut_vodka,drinks,4.57,3.93,36,14,0,164.52,0,0.6211992063333794,2,0.005917159763313609,1.0,-0.037441966317705966,165.11640000000017,158.36004770141102,6.1599522985889905,160.07556
absolut_vodka,drinks,4.57,3.93,37,14,0,169.09,1,0.6710801616971908,2,0.005917159763313609,1.0,-0.03848202093764224,168.4313000000001,162.5830750796541,6.506924920345909,163.1508
absolut_vodka,drinks,4.57,3.93,39,14,0,178.23000000000002,2,0.7708420724248133,2,0.005917159763313609,1.0,-0.040562130177514796,177.94559999999973,171.00061153846156,7.229388461538463,172.50989
absolut_vodka,drinks,4.57,3.93,40,14,0,182.8,3,0.8207230277886249,2,0.005917159763313609,1.0,-0.04160218479745107,182.77619999999982,175.19512061902597,7.60487938097404,174.86209
absolut_vodka,drinks,4.57,3.93,42,14,5,191.94,4,0.9204849385162476,2,0.005917159763313609,1.0,-0.04368229403732363,191.89569999999995,183.55562048247612,8.384379517523882,182.84819
absolut_vodka,drinks,4.57,3.93,42,14,0,191.94,5,0.9204849385162476,2,0.005917159763313609,1.0,-0.04368229403732363,191.89569999999995,183.55562048247612,8.384379517523882,182.84819
absolut_vodka,drinks,4.57,3.93,43,14,0,196.51000000000002,6,0.9703658938800589,2,0.005917159763313609,1.0,-0.0447223486572599,196.50999999999988,187.72161126536187,8.788388734638147,187.06131
absolut_vodka,drinks,4.57,3.93,43,14,0,196.51000000000002,7,0.9703658938800589,2,0.005917159763313609,1.0,-0.0447223486572599,196.50999999999988,187.72161126536187,8.788388734638147,187.06131
absolut_vodka,drinks,4.57,3.93,43,14,0,196.51000000000002,8,0.9703658938800589,2,0.005917159763313609,1.0,-0.0447223486572599,196.50999999999988,187.72161126536187,8.788388734638147,187.06131
absolut_vodka,drinks,4.57,3.93,43,14,0,196.51000000000002,9,0.9703658938800589,2,0.005917159763313609,1.0,-0.0447223486572599,196.50999999999988,187.72161126536187,8.788388734638147,187.08473
absolut_vodka,drinks,4.57,3.93,42,14,0,191.94,10,0.9204849385162476,2,0.005917159763313609,1.0,-0.04368229403732363,191.89569999999995,183.55562048247612,8.384379517523882,183.70668
aguila,drinks,1.9,1.63,51,14,0,96.89999999999999,0,-0.11686429513290628,2,0.005917159763313609,1.0,-0.02205279927173418,96.88379999999982,94.76308375056895,2.1369162494310388,94.859505
aguila,drinks,1.9,1.63,54,14,0,102.6,1,-0.05464953680167557,2,0.005917159763313609,1.0,-0.02335002275830678,102.73979999999997,100.20428766499772,2.3957123350022727,100.16532
aguila,drinks,1.9,1.63,56,14,0,106.39999999999999,2,-0.013173031247521567,2,0.005917159763313609,1.0,-0.024214838416021848,106.36719999999983,103.82354119253526,2.576458807464732,103.83408
aguila,drinks,1.9,1.63,58,14,0,110.19999999999999,3,0.028303474306632284,2,0.005917159763313609,1.0,-0.025079654073736916,110.1153000000001,107.43622212107418,2.763777878925808,105.22715
aguila,drinks,1.9,1.63,61,14,0,115.89999999999999,4,0.09051823263786314,2,0.005917159763313609,1.0,-0.02637687756030951,115.8473999999998,112.84291989076013,3.0570801092398625,112.60197
aguila,drinks,1.9,1.63,61,14,0,115.89999999999999,5,0.09051823263786314,2,0.005917159763313609,1.0,-0.02637687756030951,115.8473999999998,112.84291989076013,3.0570801092398625,112.60197
aguila,drinks,1.9,1.63,62,14,0,117.8,6,0.11125648541493999,2,0.005917159763313609,1.0,-0.026809285389167044,117.28029999999985,114.64186618115612,3.1581338188438792,114.4536
aguila,drinks,1.9,1.63,61,14,0,115.89999999999999,7,0.09051823263786314,2,0.005917159763313609,1.0,-0.02637687756030951,115.8473999999998,112.84291989076013,3.0570801092398625,112.6252
aguila,drinks,1.9,1.63,61,14,0,115.89999999999999,8,0.09051823263786314,2,0.005917159763313609,1.0,-0.02637687756030951,115.8473999999998,112.84291989076013,3.0570801092398625,112.6252
aguila,drinks,1.9,1.63,62,14,0,117.8,9,0.11125648541493999,2,0.005917159763313609,1.0,-0.026809285389167044,117.28029999999985,114.64186618115612,3.1581338188438792,114.53427
aguila,drinks,1.9,1.63,61,14,0,115.89999999999999,10,0.09051823263786314,2,0.005917159763313609,1.0,-0.02637687756030951,115.8473999999998,112.84291989076013,3.0570801092398625,112.70587
air_freshener_air_wick,cleaning_products,7.41,6.38,37,14,0,274.17,0,1.8180146889683722,2,0.005917159763313609,1.0,-0.062396449704142015,273.68749999999966,257.0627653846154,17.10723461538464,257.34198
air_freshener_air_wick,cleaning_products,7.41,6.38,39,14,0,288.99,1,1.9797730606295723,2,0.005917159763313609,1.0,-0.06576923076923077,289.3132000000005,269.98335,19.006650000000036,269.53262
air_freshener_air_wick,cleaning_products,7.41,6.38,40,14,0,296.4,2,2.060652246460172,2,0.005917159763313609,1.0,-0.06745562130177514,296.37040000000013,276.4061538461538,19.993846153846164,276.45255
air_freshener_air_wick,cleaning_products,7.41,6.38,43,14,0,318.63,3,2.3032898039519725,2,0.005917159763313609,1.0,-0.07251479289940828,319.37220000000036,295.5246115384615,23.105388461538496,295.74673
