products,category,price,cost,units_sold,profit_margin,discount,total_revenue,month,zscore,space
4_cheese_pizza_campofrio,groceries,5.17,4.45,22,14,10,113.74,0,-0.892365800296757,2
4_cheese_pizza_campofrio,groceries,5.17,4.45,12,14,10,62.04,1,-0.892365800296757,2
4_cheese_pizza_campofrio,groceries,5.17,4.45,0,14,10,0.0,2,-0.892365800296757,2
4_cheese_pizza_campofrio,groceries,5.17,4.45,26,14,10,134.42,3,-0.892365800296757,2
4_cheese_pizza_campofrio,groceries,5.17,4.45,0,14,10,0.0,4,-0.892365800296757,2
4_cheese_pizza_campofrio,groceries,5.17,4.45,0,14,10,0.0,5,-0.892365800296757,2
4_cheese_pizza_campofrio,groceries,5.17,4.45,22,14,10,113.74,6,-0.892365800296757,2
4_cheese_pizza_campofrio,groceries,5.17,4.45,41,14,10,211.97,7,-0.892365800296757,2
4_cheese_pizza_campofrio,groceries,5.17,4.45,0,14,10,0.0,8,-0.892365800296757,2
4_cheese_pizza_campofrio,groceries,5.17,4.45,7,14,10,36.19,9,-0.892365800296757,2
4_cheese_pizza_campofrio,groceries,5.17,4.45,36,14,10,186.12,10,-0.892365800296757,2
absolut_vodka,drinks,4.57,3.93,36,14,0,164.52,0,0.6211992063333794,2
absolut_vodka,drinks,4.57,3.93,37,14,0,169.09,1,0.6710801616971908,2
absolut_vodka,drinks,4.57,3.93,39,14,0,178.23000000000002,2,0.7708420724248133,2
absolut_vodka,drinks,4.57,3.93,40,14,0,182.8,3,0.8207230277886249,2
absolut_vodka,drinks,4.57,3.93,42,14,5,191.94,4,0.9204849385162476,2
absolut_vodka,drinks,4.57,3.93,42,14,0,191.94,5,0.9204849385162476,2
absolut_vodka,drinks,4.57,3.93,43,14,0,196.51000000000002,6,0.9703658938800589,2
absolut_vodka,drinks,4.57,3.93,43,14,0,196.51000000000002,7,0.9703658938800589,2
absolut_vodka,drinks,4.57,3.93,43,14,0,196.51000000000002,8,0.9703658938800589,2
absolut_vodka,drinks,4.57,3.93,43,14,0,196.51000000000002,9,0.9703658938800589,2
absolut_vodka,drinks,4.57,3.93,42,14,0,191.94,10,0.9204849385162476,2
aguila,drinks,1.9,1.63,51,14,0,96.89999999999999,0,-0.11686429513290628,2
aguila,drinks,1.9,1.63,54,14,0,102.6,1,-0.05464953680167557,2
aguila,drinks,1.9,1.63,56,14,0,106.39999999999999,2,-0.013173031247521567,2
aguila,drinks,1.9,1.63,58,14,0,110.19999999999999,3,0.028303474306632284,2
aguila,drinks,1.9,1.63,61,14,0,115.89999999999999,4,0.09051823263786314,2
aguila,drinks,1.9,1.63,61,14,0,115.89999999999999,5,0.09051823263786314,2
aguila,drinks,1.9,1.63,62,14,0,117.8,6,0.11125648541493999,2
aguila,drinks,1.9,1.63,61,14,0,115.89999999999999,7,0.09051823263786314,2
aguila,drinks,1.9,1.63,61,14,0,115.89999999999999,8,0.09051823263786314,2
